Date;Close;High;Low;Open;Volume
1/04/2018;20450.88;21498.06;18787.71;18960.18;6442850
1/05/2018;20401.6;21263.99;19773.29;20450.88;8261113
1/06/2018;21288.62;21436.46;20376.96;20401.6;6122413
1/07/2018;20769.03;22432.54;20769.03;21451.81;4051596
1/08/2018;20471.09;21414.58;20409.02;21340.09;3208084
1/09/2018;19688.99;20520.75;18745.51;20458.68;2684119
1/10/2018;18522.08;20274.17;18321.84;20048.9;6795346
1/11/2018;20136.5;21150.21;18522.08;18947.59;5000195
1/12/2018;19022.67;20874.88;18772.37;20774.76;2988711
1/01/2019;21041.22;21647.08;19185.75;19185.75;5768432
1/02/2019;22707.35;22783.08;21142.2;21583.98;8447272
1/03/2019;24991.97;26165.84;22480.15;22593.75;5007708
1/04/2019;25559.47;26512.7;24542.68;24618.94;2645386
1/05/2019;23741.96;25559.46;22394.72;25559.46;2991634
1/06/2019;24555.39;25356.11;23411.5;23741.96;6088809
1/07/2019;24883.9;25600.72;24384.68;24730.29;4455495
1/08/2019;25063.11;26240.74;24000.68;25152.71;4068970
1/09/2019;25280.72;25907.93;24384.69;25127.11;2937854
1/10/2019;26484.96;27064.92;25157.49;25453.91;5759722
1/11/2019;26807.16;28482.61;25711.68;26484.96;3487624
1/12/2019;28353.72;29320.33;26381.85;26807.16;3078869
1/01/2020;27515.98;28903.45;27490.05;28527.41;2318387
1/02/2020;25285.66;29072.02;25091.15;27477.08;3144393
1/03/2020;15625.24;26180.38;7520.86;24715.11;6078992
1/04/2020;16637.04;18844.8;15138.92;15769.71;5437873
1/05/2020;16426.79;16637.05;13798.5;16637.05;6801417
1/06/2020;15769.71;19449.31;15638.3;16439.93;5489136
1/07/2020;17814.14;17814.14;15687.08;15952.97;7705019
1/08/2020;17282.38;18173.08;16285.32;17029.79;3706888
1/09/2020;16139.08;18611.79;15926.38;18212.97;4752856
1/10/2020;16477.94;17473.34;15684.3;16249.26;4513628
1/11/2020;18616.71;19168.21;16477.94;16477.94;5210679
1/12/2020;23526.46;24077.96;18831.93;18966.44;4602410
1/01/2021;20755.52;24194.42;20280.72;23726.4;6000012
1/02/2021;21298.14;21705.11;20002.62;20755.51;5011194
1/03/2021;19500.69;21230.31;19331.11;20830.12;5101254
1/04/2021;18978.42;20970.07;18978.42;19542.61;3867811
1/05/2021;18353.06;20127.19;18217.11;18624.96;9423990
1/06/2021;17945.22;19393.07;17877.24;18835.68;3267121
1/07/2021;18464.84;19405.11;17510.93;17769.85;5250799
1/08/2021;21169.83;21585.46;18396.7;18873.65;3112142
1/09/2021;22457.6;22457.6;20713.32;21326.55;3249774
1/10/2021;22996.59;23856.91;22067.98;22532.29;2293489
1/11/2021;22102.12;23351.64;20149.33;22996.59;3283363
1/12/2021;23693.04;24915.25;20688.74;23556.48;4250863
1/01/2022;27023.09;28733.41;21755.29;23602.44;3495494
1/02/2022;26708.39;27570.39;24635.48;26687.86;4652448
1/03/2022;29677.5;29677.5;26065.3;27289.89;4382144711
1/04/2022;29273.98;31016.48;28507.28;30396.15;3447123
1/05/2022;31588.02;31852.88;24394.98;28681.53;10489450
1/06/2022;23377.36;31783.18;23377.36;30347.36;4287606
1/07/2022;25625.22;27056.36;22499.5;24279.52;3529966
1/08/2022;24350.72;28409.18;24208.32;24770.81;4121760
1/09/2022;22143.5;25632.34;20648.28;24137.12;3020249
1/10/2022;25929.38;25929.38;23015.07;23869.64;1589072
1/11/2022;29216.21;30603.98;25637.23;26221.55;6143314846
1/12/2022;31042.22;31246.74;27901.48;28222.86;3900223
1/01/2023;31273.36;32770.37;30334.93;30908.41;3414521
1/02/2023;26737.64;31414.86;26737.64;30737.11;5345063
1/03/2023;26059.89;29046.46;22700.92;27556.9;3583067
1/04/2023;27533.06;30439.33;26072.28;26752.96;2618958
1/05/2023;21261.65;27533.07;21261.65;27533.07;4970204
1/06/2023;23709.03;26768.26;21414.61;21414.61;3495406
1/07/2023;26218.65;26769.79;23762.13;24407.75;3642401
1/08/2023;22911.79;26683.18;22281.91;26352.49;1064252931
1/09/2023;24258.15;25974.57;21022.16;22754.32;5917855
1/10/2023;23765.14;26153.8;23084.98;24955.42;1449923
1/11/2023;25684.16;25684.16;22720.61;24121.41;1972362
