Date;Close;High;Low;Open;Volume
1/06/2021;16118.68;18061.64;16118.68;17686.99;4768197
1/07/2021;15189.1;17498.19;15189.1;16067.08;4026423
1/08/2021;16857.27;17384.06;14837.91;15601.75;5040367
1/09/2021;18788.83;18990.77;16936.29;17366.5;5704060
1/10/2021;19417.45;20080.91;18798.21;19196.29;4123674
1/11/2021;22248.24;22283.62;18488.59;19417.45;11799428
1/12/2021;26538.65;26538.65;21496.31;22248.24;7641595
1/01/2022;24230.22;27564.66;24034.6;26586.56;125638430
1/02/2022;28409.38;33424.37;28409.38;32384.03;10653056
1/03/2022;31672.68;31921.65;28409.38;28409.38;30175873
1/04/2022;36681.51;36681.51;31626.62;32476.55;5261062
1/05/2022;39857.59;42944.2;32583.92;36681.51;16833161
1/06/2022;35250.04;52159.32;29882.01;36770.98;3488128
1/07/2022;35972.43;38220.7;34623.46;37033.61;540301
1/08/2022;33274.5;37402.33;33274.5;35972.43;337037
1/09/2022;33724.15;38670.36;29227.6;33274.49;1503425
1/10/2022;35971.45;37950.29;30721.66;33974.55;393852
1/11/2022;34381.14;38365.92;33902.25;36143.12;436404268
1/12/2022;37950.29;38673.15;32537.85;32537.85;380266
1/01/2023;37138.32;38863.58;35322.27;38681.97;194874
1/02/2023;33233.81;37229.13;32698.07;37229.13;235843
1/03/2023;36729.71;37229.13;28675.51;32679.91;5785096
1/04/2023;38218.88;39953.22;33878.51;36729.72;5943650
1/05/2023;36705.55;42014.58;36705.55;38527.09;414142
1/06/2023;32952.62;40376.11;31538.24;36705.55;202868
1/07/2023;33405.24;36942.48;32103.02;33248.23;174620
1/08/2023;28630.43;34882.94;28630.43;34882.94;124959523
1/09/2023;29544.75;29553.99;25924.39;28630.43;1181174
1/10/2023;30152.79;30806.26;27482.92;29181.93;252838
1/11/2023;28005.69;30806.26;25727.9;30498.2;220081
1/12/2023;27072.16;28920.54;26082.63;28920.54;190966
1/01/2024;30666.61;32081.99;27364.05;27364.05;426528
1/02/2024;27326.31;31968.76;27326.31;30647.74;258502
1/03/2024;28760.56;29685.27;26930.0;27816.97;1631433
1/04/2024;37554.8;37743.52;28307.64;28779.43;559998
1/05/2024;31444.11;40019.77;27937.61;37923.5;682849
1/06/2024;32778.1;34588.52;31482.22;31444.11;285055
1/07/2024;30872.4;32778.1;29557.46;32778.1;122999
1/08/2024;31085.77;34321.46;27927.11;31201.33;332383
1/09/2024;27927.11;31085.77;24075.1;31085.77;1744996
1/10/2024;33705.13;34090.33;27233.75;27927.11;1283392
1/11/2024;35091.66;38113.44;31952.91;34116.89;2206552
1/12/2024;36261.39;37138.68;33726.99;35091.66;714905
1/01/2025;35620.86;37195.26;33948.06;36604.86;705195
1/02/2025;41820.07;44772.08;35227.26;35620.86;2918261
1/03/2025;41820.07;42016.87;36683.58;41820.07;2502599
1/04/2025;42312.07;43768.39;40344.07;41820.07;1135445
1/05/2025;44570.37;45860.83;42088.72;42684.32;627107
1/06/2025;48044.68;48044.68;43577.71;44570.37;416700
