Date;Close;High;Low;Open;Volume
1/06/2018;11161.5;11487.05;10556.92;10975.48;13301604
1/07/2018;11006.48;11378.53;10696.44;11161.5;4535834
1/08/2018;10510.42;10882.47;10463.91;10835.96;7609953
1/09/2018;10370.9;10572.42;9859.33;10417.4;5147739
1/10/2018;9239.24;10665.44;8991.21;10370.9;3529845
1/11/2018;10029.85;10603.43;9084.23;9270.25;6065853
1/12/2018;10835.96;11083.99;9828.32;10076.36;6585269
1/01/2019;10789.45;11363.03;10649.93;10835.96;10400829
1/02/2019;10835.96;10959.97;10696.44;10789.45;9317630
1/03/2019;12370.67;13533.32;10820.46;10882.47;11372842
1/04/2019;12556.69;12773.72;11859.1;12556.69;5866108
1/05/2019;12308.66;12556.69;11952.11;12556.69;19110461
1/06/2019;13843.36;15269.56;12308.66;12308.66;12345959
1/07/2019;13951.88;15889.64;13657.34;13843.36;9835439
1/08/2019;14071.72;14291.83;12735.3;13993.1;9310793
1/09/2019;14339.0;15801.2;14291.83;14543.39;6240182
1/10/2019;15329.52;16414.38;14166.05;14339.0;6678182
1/11/2019;14779.23;16178.54;14071.72;15329.52;7016279
1/12/2019;15408.14;15643.98;14150.33;14433.34;5967435
1/01/2020;15005.05;16345.92;15005.05;15643.56;5386254
1/02/2020;14845.41;15563.74;14542.12;15292.37;8833982
1/03/2020;12355.22;15132.75;8779.55;14621.94;16940282
1/04/2020;14526.16;15132.75;11573.04;11812.48;7575125
1/05/2020;15643.56;15659.52;14047.28;14526.16;7564815
1/06/2020;15005.05;15707.41;14526.16;15196.6;8135285
1/07/2020;15324.3;16042.63;14733.68;14813.49;10462335
1/08/2020;17006.2;18191.92;15349.44;15414.41;5009518
1/09/2020;16551.4;18256.9;16177.82;18110.71;8662002
1/10/2020;16941.23;17696.52;16161.58;16470.19;4385340
1/11/2020;18435.56;18922.85;16730.07;16941.23;4723836
1/12/2020;20871.98;21010.05;18273.14;18679.21;7285341
1/01/2021;18979.93;24074.72;18947.01;21152.83;8369183
1/02/2021;19589.0;20132.23;18601.32;18979.93;6074075
1/03/2021;18519.01;19934.69;17844.1;19449.08;7697613
1/04/2021;17597.18;19210.39;17333.8;18519.01;6264730
1/05/2021;16477.8;18387.32;16049.81;16872.88;11027349
1/06/2021;18230.94;19506.7;16387.27;16881.11;6258983
1/07/2021;17959.32;19835.92;17712.4;18617.78;3982535
1/08/2021;19215.67;20096.04;17945.92;18606.19;6627915
1/09/2021;19215.67;19461.16;18623.12;19071.77;9084954
1/10/2021;19139.49;19664.32;18877.07;19291.86;5570504
1/11/2021;18877.07;19435.76;17014.76;19139.49;8366685
