Date;Close;High;Low;Open;Volume
1/03/2021;3494.42;3643.19;3456.11;3561.29;6539552
1/04/2021;3238.22;3556.03;3231.46;3494.42;3792483
1/05/2021;3172.97;3448.02;2860.68;3153.21;5219987
1/06/2021;3229.19;3334.04;3039.24;3225.39;2962089
1/07/2021;3071.15;3236.79;3054.43;3165.37;2196181
1/08/2021;3274.78;3320.37;3044.56;3122.82;2843667
1/09/2021;3213.24;3296.05;3126.62;3229.19;3389620
1/10/2021;3255.02;3357.6;3153.97;3214.75;2721882
1/11/2021;3114.7;3306.14;3075.48;3293.84;5515900
1/12/2021;3216.96;3383.03;3152.37;3329.21;2069746
1/01/2022;3373.04;3634.45;3152.37;3243.1;3019220
1/02/2022;3253.12;3400.98;3190.85;3350.4;3275228
1/03/2022;3393.2;3478.03;3193.19;3242.22;999716433
1/04/2022;3386.98;3471.03;3307.59;3426.67;4170979
1/05/2022;3474.51;3474.51;3277.09;3316.57;2595459
1/06/2022;3000.71;3458.71;2898.05;3395.54;3244969
1/07/2022;2795.4;3198.12;2788.29;3134.95;3921886
1/08/2022;2604.3;2920.95;2566.4;2748.02;4871176
1/09/2022;2221.31;2653.26;2171.57;2586.14;3225617
1/10/2022;2191.31;2357.14;2124.19;2220.53;2296139
1/11/2022;2359.84;2573.64;2286.43;2313.86;387913262
1/12/2022;2242.86;2420.35;2042.78;2388.08;2729549
1/01/2023;2097.64;2416.32;2097.64;2259.8;1749070
1/02/2023;1996.29;2143.0;1692.15;2143.0;5154095
1/03/2023;2390.27;2398.51;1896.56;1896.56;9450452
1/04/2023;2406.76;2570.78;2309.5;2447.97;2817506
1/05/2023;2277.61;2488.5;2121.55;2463.19;1285157
1/06/2023;2260.74;2463.19;2194.1;2269.17;2190854
1/07/2023;2235.43;2326.54;2205.91;2260.74;1550119
1/08/2023;2121.13;2285.63;2121.13;2285.63;322318017
1/09/2023;2232.82;2276.97;1904.69;2125.46;3502882
1/10/2023;2102.44;2276.97;1992.13;2242.34;4146472
1/11/2023;2140.96;2230.16;2096.35;2137.39;4381907
1/12/2023;2640.51;2676.2;2100.81;2158.8;6932555
1/01/2024;2957.2;3024.1;2640.51;2640.51;7713825
1/02/2024;3422.48;3495.5;2806.44;3075.67;11899017
1/03/2024;3591.33;3632.39;3194.32;3299.27;10041742
1/04/2024;3764.73;3960.95;3522.88;3600.45;11488097
1/05/2024;4002.08;4085.85;3401.77;3839.21;5830051
1/06/2024;3815.94;4030.01;3722.87;4002.08;4258001
1/07/2024;3685.64;4020.7;3536.73;3815.94;3976590
1/08/2024;3839.92;3996.37;3650.3;3754.59;3029837
1/09/2024;3711.93;3839.92;3574.45;3839.92;6453617
1/10/2024;3583.93;3806.74;3508.08;3711.93;2272855
1/11/2024;3471.04;3674.08;3384.02;3654.74;7524012
1/12/2024;3558.05;3596.73;3350.18;3471.04;3995774
1/01/2025;3596.73;3693.41;3495.21;3558.05;6027018
1/02/2025;3652.88;3850.34;3573.9;3672.63;9893433
1/03/2025;3889.83;3889.83;3588.71;3652.88;6059734
1/04/2025;3968.81;4018.17;3810.85;3889.83;6528108
1/05/2025;4220.0;4415.0;3855.0;4020.0;5217889
1/06/2025;4500.0;4700.0;4240.0;4220.0;5480241
