Date;Close;High;Low;Open;Volume
1/02/2021;20257.39;21249.31;19906.8;20864.51;2591698
1/03/2021;19859.62;21282.45;19636.77;20211.05;4206911
1/04/2021;18474.43;20064.09;18474.43;19909.42;2271029
1/05/2021;18611.64;19912.73;17405.33;17749.99;7275476
1/06/2021;18905.19;19786.51;18378.13;18974.32;2331928
1/07/2021;17937.86;19670.98;17530.57;18891.08;1609864
1/08/2021;18840.9;20161.85;17554.72;17771.98;1905692
1/09/2021;18881.55;19352.28;18332.37;19038.46;3253995
1/10/2021;19242.95;19680.09;18884.49;18901.98;3341427
1/11/2021;25470.74;25856.53;19026.34;19298.14;3599891
1/12/2021;25182.96;25701.74;23556.27;25235.72;5449658
1/01/2022;23793.55;27538.84;23740.68;25009.67;1966980
1/02/2022;39050.7;39050.7;32180.18;35924.52;8315676
1/03/2022;40508.73;40685.62;32230.09;39111.27;15420124
1/04/2022;42958.15;43294.73;39858.08;41186.68;2955000
1/05/2022;32833.26;45167.92;32034.61;44324.9;739190
1/06/2022;35200.5;35724.95;30347.09;33724.92;2108101
1/07/2022;35543.91;38839.96;33584.1;35632.99;827117
1/08/2022;33028.12;36598.73;32697.84;34438.51;308316
1/09/2022;33079.34;34975.73;30860.93;34340.62;812637
1/10/2022;47524.6;54687.8;33153.36;33153.36;250981
1/11/2022;39448.25;53017.02;34595.85;47625.46;517064467
1/12/2022;40051.63;42310.72;36901.5;39511.61;241051
1/01/2023;41297.48;41297.48;37871.05;38330.91;139964
1/02/2023;45892.0;46967.02;38935.93;39866.41;155232
1/03/2023;45244.95;52484.15;41806.34;46041.27;1358276
1/04/2023;54637.55;55280.98;44406.04;44406.04;546937
1/05/2023;52476.85;57352.29;49026.81;54737.53;288713
1/06/2023;47680.25;57820.14;46687.74;52563.76;179719
1/07/2023;46463.5;50107.69;43575.47;47766.3;248012
1/08/2023;45470.38;48291.17;44913.53;47378.29;406950326
1/09/2023;45298.94;47530.95;42261.93;47530.95;342553
1/10/2023;44465.09;47482.67;43394.39;45741.02;388248
1/11/2023;45908.09;45908.09;39698.83;45458.01;372176
1/12/2023;44717.77;47405.65;42770.06;46006.49;116181
1/01/2024;44771.29;46304.83;42799.6;44811.13;161642
1/02/2024;46603.92;46783.55;44049.19;44328.61;73842
1/03/2024;45900.0;46700.0;45220.0;46700.0;701614
1/04/2024;36000.0;46800.0;34240.0;45920.0;53552
1/05/2024;59100.0;65000.0;32720.0;36000.0;100241
1/06/2024;51800.0;59980.0;49100.0;59100.0;162453
1/07/2024;55000.0;55000.0;46920.0;51800.0;89828
1/08/2024;59000.0;59000.0;51020.0;55000.0;97699
1/09/2024;69740.0;70000.0;56500.0;59000.0;35147
1/10/2024;80000.0;82500.0;67800.0;69740.0;30836
1/11/2024;79000.0;80000.0;72100.0;80000.0;17347
1/12/2024;79000.0;79000.0;71600.0;79000.0;50115
1/01/2025;96700.0;96700.0;78000.0;79000.0;44876
1/02/2025;119900.0;129000.0;91000.0;96700.0;52096
1/03/2025;125000.0;125000.0;110000.0;119900.0;40133
1/04/2025;126600.0;126600.0;113720.0;125000.0;70849
1/05/2025;126500.0;126600.0;118000.0;126600.0;101184
1/06/2025;129960.0;129980.0;122280.0;126500.0;80132
